ticket,order,time,time_msc,type,entry,magic,position_id,reason,volume,price,commission,swap,profit,fee,symbol,comment,external_id
53388789,0,2025-10-06 21:42:33+05:30,,2,0,0,0,0,0.0,0.0,0.0,0.0,100.0,0.0,,register default deposit,
53394294,285688854,2025-10-06 22:04:26+05:30,,0,0,0,285688854,0,0.01,3930.55,0.0,0.0,0.0,0.0,XAUUSD.s,,
53415145,285712968,2025-10-06 22:53:19+05:30,,1,1,0,285688854,0,0.01,3946.34,0.0,0.0,15.79,0.0,XAUUSD.s,,
53481837,285797533,2025-10-07 04:42:56+05:30,,0,0,0,285797533,0,0.01,3959.84,0.0,0.0,0.0,0.0,XAUUSD.s,,
53483531,285799634,2025-10-07 05:12:15+05:30,,0,0,234000,285799634,3,0.01,3959.57,0.0,0.0,0.0,0.0,XAUUSD.s,Test Buy Order,
53483929,285800096,2025-10-07 05:19:22+05:30,,1,1,0,285799634,0,0.01,3960.39,0.0,0.0,0.82,0.0,XAUUSD.s,,
53483940,285800107,2025-10-07 05:19:24+05:30,,1,1,0,285797533,0,0.01,3960.5,0.0,0.0,0.66,0.0,XAUUSD.s,,
53485265,285803043,2025-10-07 06:32:23+05:30,,1,0,234000,285803043,3,0.01,3959.01,0.0,0.0,0.0,0.0,XAUUSD.s,GoldFlash Scalpe,
53485420,285803261,2025-10-07 06:35:24+05:30,,0,0,234000,285803261,3,0.01,3961.35,0.0,0.0,0.0,0.0,XAUUSD.s,GoldFlash Scalpe,
53485545,285803409,2025-10-07 06:36:26+05:30,,0,0,234000,285803409,3,0.01,3961.71,0.0,0.0,0.0,0.0,XAUUSD.s,GoldFlash Scalpe,
53485617,285803505,2025-10-07 06:37:28+05:30,,0,0,234000,285803505,3,0.01,3961.93,0.0,0.0,0.0,0.0,XAUUSD.s,GoldFlash Scalpe,
53485765,285803673,2025-10-07 06:38:29+05:30,,0,0,234000,285803673,3,0.01,3963.01,0.0,0.0,0.0,0.0,XAUUSD.s,GoldFlash Scalpe,
53486104,285804025,2025-10-07 06:39:31+05:30,,0,0,234000,285804025,3,0.01,3966.2,0.0,0.0,0.0,0.0,XAUUSD.s,GoldFlash Scalpe,
53486281,285804212,2025-10-07 06:40:33+05:30,,0,0,234000,285804212,3,0.01,3965.31,0.0,0.0,0.0,0.0,XAUUSD.s,GoldFlash Scalpe,
53486954,285804894,2025-10-07 06:41:34+05:30,,0,0,234000,285804894,3,0.01,3969.02,0.0,0.0,0.0,0.0,XAUUSD.s,GoldFlash Scalpe,
53487556,285805645,2025-10-07 06:42:36+05:30,,0,0,234000,285805645,3,0.01,3969.35,0.0,0.0,0.0,0.0,XAUUSD.s,GoldFlash Scalpe,
53487743,285805856,2025-10-07 06:43:37+05:30,,0,0,234000,285805856,3,0.01,3968.11,0.0,0.0,0.0,0.0,XAUUSD.s,GoldFlash Scalpe,
53488159,285806282,2025-10-07 06:44:39+05:30,,0,0,234000,285806282,3,0.01,3971.45,0.0,0.0,0.0,0.0,XAUUSD.s,GoldFlash Scalpe,
53488434,285806572,2025-10-07 06:45:41+05:30,,0,0,234000,285806572,3,0.01,3971.57,0.0,0.0,0.0,0.0,XAUUSD.s,GoldFlash Scalpe,
53488591,285806739,2025-10-07 06:46:42+05:30,,0,0,234000,285806739,3,0.01,3970.36,0.0,0.0,0.0,0.0,XAUUSD.s,GoldFlash Scalpe,
53488720,285806880,2025-10-07 06:47:44+05:30,,0,0,234000,285806880,3,0.01,3972.73,0.0,0.0,0.0,0.0,XAUUSD.s,GoldFlash Scalpe,
53488914,285807083,2025-10-07 06:48:46+05:30,,0,0,234000,285807083,3,0.01,3971.61,0.0,0.0,0.0,0.0,XAUUSD.s,GoldFlash Scalpe,
53489074,285807245,2025-10-07 06:49:47+05:30,,0,0,234000,285807245,3,0.01,3971.0,0.0,0.0,0.0,0.0,XAUUSD.s,GoldFlash Scalpe,
53489193,285807382,2025-10-07 06:50:49+05:30,,0,0,234000,285807382,3,0.01,3971.71,0.0,0.0,0.0,0.0,XAUUSD.s,GoldFlash Scalpe,
53489266,285807473,2025-10-07 06:51:50+05:30,,0,0,234000,285807473,3,0.01,3971.92,0.0,0.0,0.0,0.0,XAUUSD.s,GoldFlash Scalpe,
53489304,285807532,2025-10-07 06:52:52+05:30,,0,0,234000,285807532,3,0.01,3971.58,0.0,0.0,0.0,0.0,XAUUSD.s,GoldFlash Scalpe,
53489364,285807601,2025-10-07 06:53:54+05:30,,0,0,234000,285807601,3,0.01,3972.9,0.0,0.0,0.0,0.0,XAUUSD.s,GoldFlash Scalpe,
53489720,285807972,2025-10-07 06:54:55+05:30,,0,0,234000,285807972,3,0.01,3973.23,0.0,0.0,0.0,0.0,XAUUSD.s,GoldFlash Scalpe,
53490091,285808353,2025-10-07 06:55:57+05:30,,0,0,234000,285808353,3,0.01,3974.79,0.0,0.0,0.0,0.0,XAUUSD.s,GoldFlash Scalpe,
53490369,285808643,2025-10-07 06:56:59+05:30,,0,0,234000,285808643,3,0.01,3975.54,0.0,0.0,0.0,0.0,XAUUSD.s,GoldFlash Scalpe,
53490423,285808712,2025-10-07 06:58:00+05:30,,0,0,234000,285808712,3,0.01,3975.49,0.0,0.0,0.0,0.0,XAUUSD.s,GoldFlash Scalpe,
53490755,285809052,2025-10-07 06:59:02+05:30,,0,0,234000,285809052,3,0.01,3974.77,0.0,0.0,0.0,0.0,XAUUSD.s,GoldFlash Scalpe,
53492346,285810840,2025-10-07 07:10:13+05:30,,0,1,234000,285803043,6,0.01,3967.8,0.0,0.0,-8.79,0.0,XAUUSD.s,[so 29.97%/54.72/182.61],
53492347,285810841,2025-10-07 07:10:13+05:30,,1,1,234000,285808643,6,0.01,3967.43,0.0,0.0,-8.11,0.0,XAUUSD.s,[so 28.72%/54.72/190.55],
53492351,285810846,2025-10-07 07:10:14+05:30,,1,1,234000,285808712,6,0.01,3967.49,0.0,0.0,-8.0,0.0,XAUUSD.s,[so 27.47%/50.16/182.60],
53492353,285810848,2025-10-07 07:10:14+05:30,,1,1,234000,285808353,6,0.01,3967.49,0.0,0.0,-7.3,0.0,XAUUSD.s,[so 29.51%/51.54/174.65],
53492368,285810862,2025-10-07 07:10:15+05:30,,1,1,234000,285809052,6,0.01,3966.95,0.0,0.0,-7.82,0.0,XAUUSD.s,[so 24.12%/40.20/166.70],
53492376,285810874,2025-10-07 07:10:15+05:30,,1,1,234000,285807972,6,0.01,3967.07,0.0,0.0,-6.16,0.0,XAUUSD.s,[so 25.32%/40.20/158.75],
53492386,285810884,2025-10-07 07:10:15+05:30,,1,1,234000,285807601,6,0.01,3967.11,0.0,0.0,-5.79,0.0,XAUUSD.s,[so 28.25%/42.60/150.81],
53492404,285810902,2025-10-07 07:10:18+05:30,,1,1,234000,285806880,6,0.01,3967.08,0.0,0.0,-5.65,0.0,XAUUSD.s,[so 29.97%/42.82/142.86],
53492416,285810926,2025-10-07 07:10:25+05:30,,1,1,234000,285807473,6,0.01,3966.52,0.0,0.0,-5.4,0.0,XAUUSD.s,[so 24.68%/33.30/134.91],
